A,zsh,"is a shell"
A,curl,"curls"
A,git,"gits"
A,unzip,"unzips zips"
A,unrar,"unrars rars"
A,zathura,"is a pdf reader"
A,sxiv,"is a minimalist image viewer"
A,zsh-syntax-highlighting,"provides fish-like syntax highlighighting for zsh"
